Purchased_Date,Gram_Per_CHF,Quantity_Purchased,Cost,Type
2024-07-11,69.48,11.0,764.2800000000001,Purchase
2024-07-22,68.8,9.0,619.1999999999999,Purchase
2024-08-06,65.53,5.0,327.65,Purchase
2024-08-06,66.06,15.0,990.9000000000001,Purchase
